Canción,Intérprete(s),Fecha,Semanas en el top,Idioma,Tipo intérprete (H/M/grupo/colaboración),Estilo
Un paso adelante,Emilio José,7/05/1983,1,es,Hombre,autor
La noche no es para mí,Video,14/05/1983,1,es,Grupo,Tecno pop
Let's Dance,David Bowie,21/05/1983,2,en,Hombre,Rock
Fame,Irene Cara,4/06/1983,1,en,Mujer,Disco
Baila conmigo,Rita Lee y Roberto,11/06/1983,1,pt,Colaboración,rock
No tengo tiempo (con los dedos de una mano),Azul y Negro,18/06/1983,1,es,Grupo,Tecno
"Mi mundo, tú",Camilo Sesto,25/06/1983,1,es,Hombre,Balada
Last Night a DJ Saved my Life,Indeep,2/07/1983,1,en,Grupo,New wave
El rock de una noche de verano,Miguel Ríos,9/07/1983,2,es,Hombre,Rock
Volveré,Chiquetete,23/07/1983,1,es,Hombre,Flamenco
Moonlight Shadow,Mike Oldfield,30/07/1983,1,en,Hombre,Pop-rock
Baby Jane,Rod Stewart,6/08/1983,1,en,Hombre,Rock
Every breath you take,The Police,13/08/1983,1,en,Grupo,New wave
She Works Hard for the Money,Donna Summer,20/08/1983,1,en,Mujer,Disco
Cada loco con su tema,Joan Manuel Serrat,27/08/1983,1,es,Hombre,Trova
Mamma Maria,Ricchi e Poveri,3/09/1983,1,it,Grupo,Italo disco
Dolce Vita,Ryan Paris,10/09/1983,1,en,Hombre,Italo disco
TRUE,Spandau Ballet,17/09/1983,2,en,Grupo,New wave
La fiesta nacional,Mecano,1/10/1983,1,es,Grupo,Pop
No estás sola,Miguel Ríos,8/10/1983,1,es,Hombre,Rock
Maniac,Michael Sembello,15/10/1983,1,en,Hombre,new wave
Wrapped Around your Finger,The Police,22/10/1983,1,en,Grupo,New wave
The Woman in you,Bee Gees,29/10/1983,1,en,Grupo,Pop
Scotland the Brave,The Royal Philharmonic Orchestra,5/11/1983,1,en,Grupo,clásica
Víctimas del desamor,Video,12/11/1983,1,es,Grupo,Tecno pop
Caballo de batalla,Juan Pardo,19/11/1983,1,es,Hombre,Pop
Quién piensa en ti,Gonzalo,26/11/1983,2,es,Hombre,pop
Karma Chameleon,Culture Club,10/12/1983,2,en,Grupo,Pop
Tiempo de amor,Danza Invisible,24/12/1983,1,es,Grupo,new wave
Se puede decir,Platino,31/12/1983,1,,Grupo,Pop-rock
Decídete,Luis Miguel,7/01/1984,1,es,Hombre,Balada
Undercover of the Night,The Rolling Stones,14/01/1984,1,en,Grupo,Rock
Conspiración,Olé Olé,21/01/1984,1,es,Grupo,Pop
Transparente maniquí,RH+,28/01/1984,1,,Grupo,Pop
Union of the Snake,Duran Duran,4/02/1984,1,en,Grupo,Pop rock
Thriller,Michael Jackson,11/02/1984,2,en,Hombre,Pop
Vuelve,Gonzalo,25/02/1984,1,es,Hombre,pop
Amor de mujer,Camilo Sesto,3/03/1984,1,es,Hombre,Balada
El pistolero,Pistones,10/03/1984,1,es,Grupo,Pop-rock
París latino,Bandolero,17/03/1984,1,fr,Grupo,Pop-rock
Nobody Told Me,John Lennon,24/03/1984,1,en,Hombre,Pop
Obsesión,Platino,31/03/1984,1,,Grupo,Pop-rock
Radio Ga Ga,Queen,7/04/1984,1,en,Hombre,Rock
Eterna melodía,Bertín Osborne,14/04/1984,1,es,Hombre,Balada
Mangas cortas,Los Elegantes,21/04/1984,1,es,Grupo,Pop-rock
No me puedes dejar así,Luis Miguel,28/04/1984,1,es,Hombre,Balada
Ali Shuffle,Camaro's Gang,5/05/1984,1,,Grupo,Italodisco
Running With the Night,Lionel Richie,12/05/1984,1,en,Hombre,R&B
Adrenalina,Olé Olé,19/05/1984,1,it,Grupo,Pop
Lobo hombre en París,La Unión,26/05/1984,1,es,Grupo,Pop-rock
El hombre lobo,Azul y Negro,2/06/1984,1,en,Grupo,Tecno
Los ojos del gato,Luz Casal,9/06/1984,1,es,Mujer,Balada
"Lady, Lady",Bravo,16/06/1984,1,es,Grupo,Balada
Pánico en el Edén,Tino Casal,23/06/1984,1,es,Hombre,Pop
Esta noche me quiero descolgar,Trupita,30/06/1984,1,es,Hombre,Pop
Una de dos,Luis Eduardo Aute,7/07/1984,1,es,Hombre,Pop
Piel de terciopelo,Pato de goma,14/07/1984,1,es,Grupo,rock
Noche de San Juan,Bertín Osborne,21/07/1984,1,es,Hombre,Balada
Si tú los vieras,Pecos,28/07/1984,1,es,Grupo,Balada
Joanna,Kool & the Gang,4/08/1984,1,en,Grupo,R&B
Cerca de ti,Los Elegantes,11/08/1984,1,,Grupo,Pop-rock
One Love,Bob Marley & The Wailers,18/08/1984,1,en,Hombre,Reggae
La colegiala (12'' extended version),Gary Low,25/08/1984,1,es,Hombre,Italo disco
Only When You Leave,Spandau Ballet,1/09/1984,1,en,Grupo,New wave
State of Shock,The Jacksons & Mick Jagger,8/09/1984,1,en,Colaboración,rock
Fotonovela,Iván,15/09/1984,1,es,Hombre,pop
Desidia,Objetivo Birmania,22/09/1984,1,es,Grupo,Pop
All of You,Julio Iglesias & Diana Ross,29/09/1984,1,en,Colaboración,Pop latino
Juegos de amor,Diseño,6/10/1984,1,,Grupo,pop
Send me an Angel,Real Life,13/10/1984,1,en,Grupo,new wave
Susanna,Art Company,20/10/1984,1,en,Grupo,reggae
Tentación,José Luis Perales,27/10/1984,1,es,Hombre,Balada
I Just Called to Say I Love You,Stevie Wonder,3/11/1984,2,en,Hombre,soul
Blue Jean,David Bowie,17/11/1984,1,en,Hombre,Rock
Esta cobardía,Chiquetete,24/11/1984,1,es,Hombre,Flamenco
Arturo,Cadillac,1/12/1984,1,,Grupo,Pop-rock
Sildavia,La Unión,8/12/1984,2,es,Grupo,Pop-rock
Why?,Bronski Beat,22/12/1984,1,en,Grupo,new wave
Todo a pulmón,Miguel Ríos,29/12/1984,1,es,Hombre,Rock
Cómo pudiste hacerme esto a mí,Alaska y Dinarama,5/01/1985,1,es,Mujer,Pop-Dance
No te aguanto más,Objetivo Birmania,12/01/1985,1,es,Grupo,Pop
Voy a mil,Olé Olé,19/01/1985,1,es,Grupo,Pop
Tú no tienes corazón,Luis Miguel,26/01/1985,1,es,Hombre,Balada
Ninna,Juan Pardo,2/02/1985,1,es,Hombre,Pop
Arte moderno,La Mode,9/02/1985,2,,Grupo,pop
Amante bandido,Miguel Bosé,23/02/1985,1,es,Hombre,Pop latino
Lay Your Hands on Me,Thompson Twins,2/03/1985,1,en,Grupo,New wave
Fresh,Kool & the Gang,9/03/1985,1,en,Grupo,R&B
Just Another Night,Mick Jagger,16/03/1985,1,en,Hombre,Rock
Let's Talk About Me,The Alan Parsons Project,23/03/1985,1,en,Grupo,Rock
Ni tú ni nadie,Alaska y Dinarama,30/03/1985,2,es,Mujer,Pop-Dance
Cabaret,La Unión,13/04/1985,1,es,Grupo,Pop-rock
Qué peligro tiene,Juan Pardo,20/04/1985,1,es,Hombre,Pop
Números rojos,Azul y Negro,27/04/1985,1,es,Grupo,Tecno
El africano,Georgie Dann,4/05/1985,2,es,Hombre,pop
Tarzan Boy,Baltimora,18/05/1985,1,en,Grupo,Italodisco
Material Girl,Madonna,25/05/1985,1,en,Mujer,Pop
Baila,Iván,1/06/1985,1,es,Hombre,pop
Estamos desesperados,Ramoncín,8/06/1985,1,es,Hombre,Rock
We Are the World,USA for Africa,15/06/1985,1,en,Grupo,pop
Agradecido,Rosendo,22/06/1985,1,es,Hombre,Rock
How Much,Gary Low,29/06/1985,1,,Hombre,Italo disco
Amanda,Paolo Salvatore,6/07/1985,1,,Hombre,Pop
Camarero,Enrique,13/07/1985,1,,Hombre,Pop
A View to a Kill,Duran Duran,20/07/1985,1,en,Grupo,Pop rock
"If You Love Somebody, Set Them Free",Sting,27/07/1985,1,en,Hombre,Rock
Live is life,Opus,3/08/1985,3,en,Grupo,pop-rock
You Can Win if You Want,Modern Talking,24/08/1985,1,en,Grupo,dance
Baila para mí,Objetivo Birmania,31/08/1985,2,es,Grupo,Pop
Venezia,Hombres G,14/09/1985,1,es,Grupo,Pop rock
Angel,Madonna,21/09/1985,1,en,Mujer,Pop
There Must Be an Angel (Playing with My Heart),Eurythmics,28/09/1985,1,en,Grupo,New wave
The Lady Don't Mind,Talking Heads,5/10/1985,1,en,Grupo,New wave
Part-Time Lover,Stevie Wonder,12/10/1985,1,en,Hombre,soul
We Don't Need Another Hero (Thunderdome),Tina Turner,19/10/1985,1,en,Mujer,R&B
Into the Groove,Madonna,26/10/1985,1,en,Mujer,Pop
Dancing in the Street,David Bowie y Mick Jagger,2/11/1985,2,en,Colaboración,rock
Breakthoven,Barón Rojo,16/11/1985,1,es,Grupo,Metal
Woody Boogie,Baltimora,23/11/1985,1,en,Grupo,italodisco
Una noche sin ti,Ana Curra,30/11/1985,1,es,Mujer,Punk
La Década en Río (medley),La Década Prodigiosa,7/12/1985,1,,Grupo,Pop
Alive & Kicking,Simple Minds,14/12/1985,1,en,Grupo,pop-rock
Grité una noche,Nacha Pop,21/12/1985,1,es,Mujer,Pop
El sur también existe,Joan Manuel Serrat,28/12/1985,1,es,Hombre,Trova
Nikita,Elton John,4/01/1986,1,en,Hombre,Pop rock
Dejad que las niñas se acerquen a mí,Hombres G,11/01/1986,1,es,Hombre,Pop rock
Que te quiero,Katrina & the Waves,18/01/1986,1,en,Grupo,New wave
"Janey, Don't You Lose Heart",Bruce Springsteen,25/01/1986,2,en,Hombre,Rock
Rufino,Luz Casal,8/02/1986,1,es,Mujer,Balada
El imperio contraataca,Los Nikis,15/02/1986,1,es,Grupo,rock
That's What Friends Are For,"Dionne Warwick, Elton John, Gladys Knight y Stevie Wonder",22/02/1986,1,en,Grupo,Pop rock
"Say You, Say Me",Lionel Richie,1/03/1986,1,en,Hombre,soul
Lili Marlen,Olé Olé,8/03/1986,1,es,Grupo,Pop
West End Girls,Pet Shop Boys,15/03/1986,1,en,Grupo,Dance
El tonto Simón,Radio Futura,22/03/1986,1,es,Grupo,Rock
"When the Going Gets Tough, the Tough get going",Billy Ocean,29/03/1986,1,en,Hombre,R&B
Si tú eres mi hombre y yo tu mujer,Jennifer Rush,5/04/1986,2,es,Mujer,pop
The Captain of her Heart,Double,19/04/1986,1,en,Grupo,jazz rock
El calor del amor en un bar,Gabinete Caligari,26/04/1986,1,es,Grupo,rock
Love Missile F1-11,Sigue Sigue Sputnik,3/05/1986,1,en,Grupo,new wave
Broken Wings,Mr. Mister,10/05/1986,1,en,Grupo,new wave
Harlem Shuffle,The Rolling Stones,17/05/1986,1,en,Grupo,Rock
Living in Another World,Talk Talk,24/05/1986,1,en,Grupo,rock
This is my Life,Eartha Kitt,31/05/1986,1,en,Mujer,Jazz
Marta tiene un marcapasos,Hombres G,7/06/1986,1,es,Grupo,Pop rock
La Puerta de Alcalá,Ana Belén y Victor Manuel,14/06/1986,1,es,Grupo,Bolero
Bailando sin salir de casa,Olé Olé,21/06/1986,1,es,Grupo,Pop
Rock Me Amadeus,Falco,28/06/1986,1,de,Grupo,new wave
A Kind of Magic,Queen,5/07/1986,1,en,Grupo,Rock
Te esperaré,Agustín Pantoja,12/07/1986,1,,Hombre,flamenco
El tomavistas,Paolo Salvatore,19/07/1986,1,es,Hombre,Pop
Nena,Miguel Bosé,26/07/1986,1,es,Hombre,Pop latino
Right between the Eyes,Wax,2/08/1986,1,en,Grupo,Pop
Ay qué pesado,Mecano,9/08/1986,1,es,Grupo,Pop
Dancing in Paris (Qué pasa),Angel,16/08/1986,1,es,Hombre,pop
"Hey, mademoiselle",Iván,23/08/1986,1,es,Hombre,pop
Easy Lady,Spagna,30/08/1986,1,en,Grupo,Italo-disco
Atlantis Is Calling (S.O.S. for Love),Modern Talking,6/09/1986,1,en,Grupo,dance
Baila baila,La Década Prodigiosa,13/09/1986,1,es,Grupo,Pop
When Tomorrow Comes,Eurythmics,20/09/1986,1,en,Grupo,New wave
Papa Don't Preach,Madonna,27/09/1986,1,en,Mujer,Pop
Salamandra,Miguel Bosé,4/10/1986,1,es,Hombre,Pop latino
Dancing on the Ceiling,Lionel Richie,11/10/1986,1,en,Hombre,soul
Holiday Rap,"MC Miker ""G"" & Deejay Sven",18/10/1986,2,en,Grupo,Hip-hop
Typical Male,Tina Turner,1/11/1986,1,en,Mujer,R&B
Cruz de navajas,Mecano,8/11/1986,1,es,Hombre,Pop
The Lady in Red,Chris de Burgh,15/11/1986,1,en,Mujer,pop-rock
A quién le importa,Alaska y Dinarama,22/11/1986,1,es,Mujer,Pop-Dance
El ruido de fondo,Miguel Ríos,29/11/1986,1,es,Hombre,Rock
"Wild, Wild Life",Talking Heads,6/12/1986,1,en,Grupo,New wave
Stuck with You,Huey Lewis & The News,13/12/1986,1,en,Grupo,Pop rock
Don't Stand So Close to Me,The Police,20/12/1986,1,en,Grupo,New wave
Geronimo's Cadillac,Modern Talking,27/12/1986,1,en,Grupo,dance
Quiero beber hasta perder el control,Los Secretos,3/01/1987,1,es,Grupo,Pop rock
Through the Barricades,Spandau Ballet,10/01/1987,1,en,Grupo,New wave
Notorious,Duran Duran,17/01/1987,1,en,Grupo,Pop rock
Max Mix 4,Varios,24/01/1987,1,,Grupo,-
One Love to Give,Stephanie,31/01/1987,1,en,Mujer,dance
Dos corazones y un destino,Bertín Osborne,7/02/1987,1,es,Hombre,Balada
Two People,Tina Turner,14/02/1987,1,en,Mujer,R&B
Me cuesta tanto olvidarte,Mecano,21/02/1987,1,es,Grupo,Pop
The Final Countdown,Europe,28/02/1987,1,en,Grupo,metal
Suburbia,Pet Shop Boys,7/03/1987,1,en,Grupo,Dance
City Lights,William Pitt,14/03/1987,1,en,Hombre,pop
No puedo evitar pensar en ti,Duncan Dhu,21/03/1987,1,es,Grupo,Rock
Walk Like an Egyptian,The Bangles,28/03/1987,1,en,Grupo,pop-rock
Shake you down,Gregory Abbott,4/04/1987,1,en,Hombre,soul
Nothing's Gonna Stop Us Now,Starship,11/04/1987,1,en,Grupo,rock
Como un susurro,Ramoncín,18/04/1987,1,es,Hombre,Rock
37 grados,Radio Futura,25/04/1987,1,es,Grupo,Rock
Call me,Spagna,2/05/1987,1,en,Grupo,Italo-disco
The Right Thing,Simply Red,9/05/1987,1,en,Grupo,soul
Running in the Family,Level 42,16/05/1987,1,en,Grupo,jazz
With or Without You,U2,23/05/1987,1,en,Grupo,Rock
The Multimix,The Communards,30/05/1987,1,,Grupo,Pop
"Day in, Day out",David Bowie,6/06/1987,1,en,Hombre,Rock
Yo tengo una mujer tremenda,Paolo Salvatore,13/06/1987,1,,Hombre,Pop
Corazón de neón,Orquesta Mondragón,20/06/1987,1,es,Grupo,Pop-rock
Contra el viento,Agustín Pantoja,27/06/1987,1,es,Hombre,flamenco
Cuatro mexicanos,Cuentos chinos,4/07/1987,1,es,Grupo,rock
In the Army Now,Status Quo,11/07/1987,1,en,Grupo,rock
Jardín de rosas,Duncan Dhu,18/07/1987,1,es,Grupo,Rock
Sola (con un desconocido),Olé Olé,25/07/1987,1,es,Grupo,Pop
Voyage Voyage,Desireless,1/08/1987,1,fr,Grupo,dance
Cuerpos calientes,Ramoncín,8/08/1987,1,,Hombre,Rock
América Latina,La Década Prodigiosa,15/08/1987,1,,Grupo,Pop
Master Mix,Hombres G,22/08/1987,1,,Hombre,Pop rock
Ellos las prefieren gordas,Orquesta Mondragón,29/08/1987,1,es,Grupo,Pop-rock
Nothing's Gonna Stop Me Now,Samantha Fox,5/09/1987,1,en,Mujer,dance
It's a Sin,Pet Shop Boys,12/09/1987,1,en,Grupo,Dance
Max Mix 5 (Parte 1),Varios,19/09/1987,1,,Grupo,-
"No, no, no",Hombres G,26/09/1987,1,es,Grupo,Pop rock
Who's that Girl,Madonna,3/10/1987,1,en,Mujer,Pop
"Balla, balla",Francesco Napoli,10/10/1987,1,it,Hombre,italodisco
Max Mix 5 (Parte 2),Varios,17/10/1987,1,,Grupo,-
La Bamba,Los Lobos,24/10/1987,1,es,Grupo,rock
"Boys, boys, boys",Sabrina,31/10/1987,1,en,Mujer,italodisco
Bad,Michael Jackson,7/11/1987,1,en,Hombre,Pop
Learning to Fly,Pink Floyd,14/11/1987,1,en,Grupo,Rock
What Have I Done to Deserve This,Pet Shop Boys con Dusty Springfield,21/11/1987,1,en,Colaboración,Dance
Alien divino,Germán Coppini,28/11/1987,1,es,Hombre,punk
Never Gonna Give You Up,Rick Astley,5/12/1987,1,en,Hombre,pop
Brilliant Disguise,Bruce Springsteen,12/12/1987,1,en,Hombre,Rock
La sangre de tu tristeza,Gabinete Caligari,19/12/1987,1,es,Grupo,rock
Faith,George Michael,26/12/1987,1,en,Hombre,Pop
Is this Love,Whitesnake,2/01/1988,1,en,Grupo,Heavy metal
Unchain my Heart,Joe Cocker,9/01/1988,1,en,Hombre,Blues
We'll be Together,Sting,16/01/1988,1,en,Hombre,Rock
Fantástico amor,Eros Ramazzotti,23/01/1988,1,es,Hombre,Pop latino
Never Can Say Goodbye,The Communards,30/01/1988,1,en,Grupo,pop
Balla... balla!,Francesco Napoli,6/02/1988,1,it,Hombre,italodisco
Como un lobo,Miguel Bosé,13/02/1988,1,es,Hombre,Pop latino
Secretos,Olé Olé,20/02/1988,1,es,Grupo,Pop
En algún lugar,Duncan Dhu,27/02/1988,1,es,Grupo,Rock
Always on my Mind,Pet Shop Boys,5/03/1988,1,en,Grupo,Dance
G.T.O.,Sinitta,12/03/1988,1,en,Mujer,R&B
Wonderful Life,Black,19/03/1988,1,en,Grupo,pop
Una fiesta especial,La Década Prodigiosa,26/03/1988,1,es,Grupo,Pop
Camino Soria,Gabinete Caligari,2/04/1988,1,es,Grupo,rock
Serás mi cómplice,Cómplices,9/04/1988,1,es,Grupo,Rock
Sign Your Name,Terence Trent D'Arby,16/04/1988,1,en,Grupo,pop
Father Figure,George Michael,23/04/1988,1,en,Hombre,Pop
Flor de verano,Mango,30/04/1988,1,es,Grupo,pop-rock
Together Forever,Rick Astley,7/05/1988,1,en,Hombre,pop
A Woman Loves a Man,Joe Cocker,14/05/1988,1,en,Hombre,Blues
Nutbush City Limits,Tina Turner,21/05/1988,1,en,Mujer,R&B
Englishman in New York,Sting,28/05/1988,1,en,Hombre,Rock
Eloise,Tino Casal,4/06/1988,1,es,Hombre,Pop
Corazón infame,Miguel Bosé,11/06/1988,1,es,Hombre,Pop latino
Heart,Pet Shop Boys,18/06/1988,1,en,Grupo,Dance
Diálogo,Eros Ramazzotti,25/06/1988,1,en,Hombre,Pop latino
Una calle de París,Duncan Dhu,2/07/1988,1,es,Grupo,Rock
Gimme Hope Jo'anna,Eddy Grant,9/07/1988,2,en,Hombre,reggae
Suite nupcial,Gabinete Caligari,23/07/1988,1,es,Grupo,pop
My Love,Julio Iglesias y Stevie Wonder,30/07/1988,1,en,Colaboración,Pop latino
¡Chas! Y aparezco a tu lado,Álex y Christina,6/08/1988,1,es,Grupo,Pop
Ya no danzo al son de los tambores,El último de la fila,13/08/1988,1,es,Grupo,Pop-rock
Ayúdame (no soy un héroe),Ramoncín,20/08/1988,1,es,Hombre,Rock
La madre,Víctor Manuel,27/08/1988,1,es,Hombre,Pop
Si no te tengo a ti,Hombres G,3/09/1988,1,es,Grupo,Pop rock
No hay marcha en Nueva York,Mecano,10/09/1988,2,es,Grupo,Pop
Supernatural,Olé Olé,24/09/1988,1,es,Grupo,Pop
Yé Ké Yé Ké,Mory Kante,1/10/1988,1,en,Hombre,Folk
Perfect,Fairground Attraction,8/10/1988,1,en,Grupo,Folk
Be Gentle,B.V.S.M.P.,15/10/1988,1,en,Grupo,Hip-hop
The Twist,The Fat Boys,22/10/1988,1,en,Grupo,Hip-hop
Im nin'alu 1988,Ofra Haza,29/10/1988,1,en,Mujer,Folk
Suéltate el pelo,Hombres G,5/11/1988,1,es,Grupo,Pop rock
Cross my Heart,Eigth Wonder,12/11/1988,1,en,Grupo,Pop
Domino Dancing,Pet Shop Boys,19/11/1988,1,en,Grupo,Dance
Desire,U2,26/11/1988,1,en,Grupo,Rock
Bad Medicine,Bon Jovi,3/12/1988,1,en,Grupo,rock
Asimbonanga,Johnny Clegg & Savuka,10/12/1988,1,en,Colaboración,Mbaqanga
Nothing's Gonna Change My Love for You,Glenn Medeiros,17/12/1988,1,en,Hombre,pop
"Don't Worry, Be Happy",Bobby McFerrin,24/12/1988,1,en,Hombre,jazz
Vas a enloquecer,La Década Prodigiosa,31/12/1988,1,es,Grupo,Pop
Bajo la luz de la luna,Los Rebeldes,7/01/1989,1,es,Grupo,Rock
Entre tú y yo,El Norte,14/01/1989,1,es,Grupo,pop
Por las noches,Los Ronaldos,21/01/1989,1,es,Grupo,Rock
Nada sin ti,Eros Ramazzotti,28/01/1989,1,es,Hombre,Pop latino
Teardrops,Womack & Womack,4/02/1989,1,en,Grupo,R&B
Left to my Own Devices,Pet Shop Boys,11/02/1989,1,en,Grupo,Dance
Take Me to Your Heart,Rick Astley,18/02/1989,1,en,Hombre,pop
Baby Don't Forget my Number,Milli Vanilli,25/02/1989,1,en,Grupo,R&B
Vivir al este del Edén,La Unión,4/03/1989,1,es,Grupo,Pop-rock
A este lado de la carretera,Danza Invisible,11/03/1989,1,es,Grupo,new wave
Mujer contra mujer,Mecano,18/03/1989,1,es,Grupo,Pop
Adiós papá,Los Ronaldos,25/03/1989,1,es,Grupo,Rock
She Drives me Crazy,Fine Young Cannibals,1/04/1989,1,en,Grupo,new wave
Quiero ser como tú,Rey Lui,8/04/1989,1,es,Grupo,Rock
Mil calles llevan hacia ti,La Guardia,15/04/1989,1,es,Grupo,rock
Like a Prayer,Madonna,22/04/1989,1,en,Mujer,Pop
You Got It,Roy Orbison,29/04/1989,1,en,Hombre,rock
Like a Prayer,Madonna,6/05/1989,1,en,Mujer,Pop
Flor venenosa,Héroes del Silencio,13/05/1989,1,es,Grupo,Rock
The Pasadenas Medley: Tribute / Riding on a Train,The Pasadenas,20/05/1989,1,en,Grupo,R&B
Help!,Bananarama,27/05/1989,1,en,Grupo,Pop
Mi novio es un zombi,Alaska y Dinarama,3/06/1989,1,es,Mujer,Pop-Dance
Eternal Flame,The Bangles,10/06/1989,1,en,Grupo,pop-rock
The Sound of C,Confetti's,17/06/1989,1,en,Grupo,house
Más y más,La Unión,24/06/1989,1,,Grupo,Pop-rock
Lullaby,The Cure,1/07/1989,1,en,Grupo,Rock
Te dejé marchar,Luz Casal,8/07/1989,1,es,Mujer,Balada
The Look,Roxette,15/07/1989,1,en,Mujer,Pop-rock
I Want it All,Queen,22/07/1989,1,en,Grupo,Rock
My Brave Face,Paul McCartney,29/07/1989,1,en,Hombre,Pop-Rock
Aquí no hay playa,The Refrescos,5/08/1989,1,es,Grupo,Pop-rock
Cadillac solitario,Loquillo y los Trogloditas,12/08/1989,1,es,Grupo,Rock
Good Thing,Fine Young Cannibals,19/08/1989,1,en,Grupo,new wave
Aquí no hay playa,The Refrescos,26/08/1989,1,es,Grupo,Pop-rock
Batdance,Prince,2/09/1989,1,en,Hombre,Funk
"Chico, tienes que cuidarte",Hombres G,9/09/1989,1,es,Grupo,Pop rock
Acid Mix,Los Inhumanos,16/09/1989,1,,Grupo,pop
I Wanna Dance,Orquesta Mondragón,23/09/1989,1,,Grupo,Pop-rock
Batdance,Prince,30/09/1989,1,en,Hombre,Funk
Dançando Lambada,Kaoma,7/10/1989,1,pt,Grupo,Dance
Loco Mía,Loco Mía,14/10/1989,1,en,Grupo,Dance
Los amigos de mis amigas son mis amigos,Objetivo Birmania,21/10/1989,1,es,Grupo,Pop
Toro mecánico,Dinamita pa' los Pollos,28/10/1989,1,es,Grupo,rock
Maracaibo,La Unión,4/11/1989,1,es,Grupo,Pop-rock
Losing my Mind,Liza Minelli,11/11/1989,1,en,Mujer,pop
Swing the Mood,Jive Bunny & The Mastermixers,18/11/1989,1,en,Grupo,Remix
Mixed Emotions,The Rolling Stones,25/11/1989,1,en,Grupo,Rock
Quiero un camión,Loquillo y los Trogloditas,2/12/1989,1,es,Grupo,Rock
El souvenir,Álex y Christina,9/12/1989,1,es,Grupo,Pop
That's what I Like,Jive Bunny & The Mastermixers,16/12/1989,1,en,Grupo,Remix
Cuélate en mi música,La Década Prodigiosa,23/12/1989,1,es,Grupo,Pop
Don't Wanna Lose You Now,Gloria Estefan,30/12/1989,1,en,Mujer,Pop latino
Voy a pasármelo bien,Hombres G,6/01/1990,1,es,Grupo,Pop rock
Sólo se vive una vez,Gabinete Caligari,13/01/1990,1,es,Grupo,Rock
Another Day in Paradise,Phil Collins,20/01/1990,1,en,Hombre,pop
I'm Gonna Miss You,Milli Vanilli,27/01/1990,1,en,Grupo,R&B
Right Here Waiting,Richard Marx,3/02/1990,1,en,Hombre,pop rock
All Around the World,Lisa Stansfield,10/02/1990,1,en,Mujer,R&B
Great Balls of Fire,Jerry Lee Lewis,17/02/1990,1,en,Hombre,rock
Landslide of Love,Transvision Vamp,24/02/1990,1,en,Grupo,punk
Words,The Christians,3/03/1990,1,en,Grupo,soul
I Feel the Earth Move,Martika,10/03/1990,1,en,Mujer,Pop
Nacido para volar,La Frontera,17/03/1990,1,es,Grupo,Rock
No me importa nada,Luz Casal,24/03/1990,1,es,Mujer,Balada
Rozando la eternidad,Duncan Dhu,31/03/1990,1,es,Grupo,Rock
Can't Shake the Feeling,Big Fun,7/04/1990,1,en,Grupo,pop
Get Up! (Before The Night Is Over),Technotronic,14/04/1990,1,en,Grupo,house
You Got It (The Right Stuff),New Kids on the Block,21/04/1990,1,en,Grupo,pop
Nothing Compares 2 U,Sinéad O'Connor,28/04/1990,1,en,Mujer,rock
Enjoy the Silence,Depeche Mode,5/05/1990,1,en,Grupo,New wave
Live Together (New Version),Lisa Stansfield,12/05/1990,1,en,Mujer,R&B
Cosas de la edad,Modestia Aparte,19/05/1990,1,es,Grupo,pop-rock
Veneno en la piel,Radio Futura,26/05/1990,1,es,Grupo,Rock
Vogue,Madonna,2/06/1990,1,en,Mujer,Pop
Mía,Los Rebeldes,9/06/1990,1,es,Grupo,Rock
Canta por mí,El último de la fila,16/06/1990,1,es,Grupo,Pop-rock
No Problem,Los Inhumanos,23/06/1990,1,,Grupo,Pop
Si bastasen un par de canciones,Eros Ramazzotti,30/06/1990,1,es,Hombre,Pop latino
The power,Snap!,7/07/1990,1,en,Grupo,Dance
Soldados del amor,Olé Olé,14/07/1990,1,es,Grupo,Pop
La abuela,Wilfred y la Ganga,21/07/1990,2,es,Grupo,r&B
Beach Boys Megamix,The Beach Boys,4/08/1990,1,,Grupo,Surf
Ya no me engañas,Los Ronaldos,11/08/1990,1,es,Grupo,Rock
Corazón de tiza,Radio Futura,18/08/1990,1,es,Grupo,Rock
Step by Step,New Kids on the Block,25/08/1990,1,en,Grupo,pop
Es por tu amor,Modestia Aparte,1/09/1990,1,es,Grupo,pop-rock
Los chicos no lloran,Miguel Bosé,8/09/1990,1,es,Hombre,Pop latino
I Can't Stand It,Twenty 4 Seven,15/09/1990,1,en,Grupo,dance
U Can't Touch This,MC Hammer,22/09/1990,1,en,Hombre,Rap
Rosa gris,Duncan Dhu,29/09/1990,1,es,Grupo,Rock
Sacrifice,Elton John,6/10/1990,1,en,Hombre,Pop rock
Ooops Up,Snap!,13/10/1990,1,en,Grupo,dance
Praying for Time,George Michael,20/10/1990,1,en,Hombre,Pop
Canciones lejanas,Eros Ramazzotti,27/10/1990,1,es,Hombre,Pop latino
Los tejados,Cómplices,3/11/1990,1,es,Grupo,Rock
Blaze of Glory,Jon Bon Jovi,10/11/1990,1,en,Hombre,Rock
Suicide Blonde,INXS,17/11/1990,1,en,Grupo,rock
It Must Have Been Love,Roxette,24/11/1990,1,en,Mujer,Pop-rock
Espaldas mojadas,Tam Tam Go,1/12/1990,1,es,Grupo,Pop
Acércate y bésame,La Trampa,8/12/1990,1,es,Grupo,Rock
Fueron los celos,La Unión,15/12/1990,1,es,Grupo,Pop-rock
